epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,993.212,0.84358,0.60988,1.09539,0.59987,0.49769,0.51315,0.31747,1.27608,1.30277,1.42552,0.000240644,0.000240644,0.000240644
86,1004.85,0.83472,0.60875,1.0958,0.6128,0.48218,0.50875,0.30975,1.29239,1.32507,1.45241,0.000226497,0.000226497,0.000226497
87,1016.39,0.8334,0.59871,1.09081,0.60376,0.4908,0.51082,0.31089,1.29449,1.32647,1.45156,0.000212349,0.000212349,0.000212349
88,1028.08,0.83631,0.59314,1.09238,0.61965,0.48037,0.51459,0.30792,1.29668,1.31543,1.46657,0.000198202,0.000198202,0.000198202
89,1039.7,0.83318,0.58744,1.08114,0.60621,0.47842,0.50517,0.3067,1.29923,1.35032,1.45485,0.000184055,0.000184055,0.000184055
90,1051.38,0.82088,0.57818,1.06897,0.59026,0.49481,0.51377,0.31707,1.2977,1.32415,1.44664,0.000169908,0.000169908,0.000169908
91,1075.95,0.83644,0.59185,1.07998,0.64845,0.43814,0.49377,0.30249,1.30116,1.32665,1.47085,0.000155761,0.000155761,0.000155761
92,1087.33,0.80822,0.52968,1.05171,0.60173,0.47092,0.49972,0.31071,1.28424,1.30445,1.4552,0.000141614,0.000141614,0.000141614
93,1098.67,0.79847,0.52868,1.05677,0.60377,0.48931,0.50793,0.31324,1.28154,1.28723,1.44395,0.000127467,0.000127467,0.000127467
94,1109.96,0.78158,0.51606,1.04905,0.60016,0.48571,0.50915,0.31521,1.27232,1.32723,1.4415,0.00011332,0.00011332,0.00011332
95,1121.21,0.78029,0.49911,1.04514,0.6031,0.48939,0.50832,0.3179,1.26776,1.30883,1.43852,9.91726e-05,9.91726e-05,9.91726e-05
96,1132.52,0.77076,0.50562,1.03704,0.60535,0.48991,0.50649,0.31496,1.27637,1.30695,1.44169,8.50255e-05,8.50255e-05,8.50255e-05
97,1143.84,0.7738,0.50187,1.03897,0.59867,0.47841,0.50602,0.31235,1.27593,1.31007,1.44313,7.08784e-05,7.08784e-05,7.08784e-05
98,1155.24,0.76735,0.49702,1.03057,0.62132,0.47293,0.51188,0.31457,1.27583,1.30857,1.44414,5.67313e-05,5.67313e-05,5.67313e-05
99,1166.56,0.7644,0.49417,1.03227,0.60183,0.48896,0.50836,0.31262,1.27395,1.30361,1.44459,4.25842e-05,4.25842e-05,4.25842e-05
100,1178.12,0.7646,0.48856,1.02859,0.61388,0.4738,0.50814,0.3152,1.27666,1.28892,1.44896,2.84371e-05,2.84371e-05,2.84371e-05
